Population Growth,Annual CO₂ emissions
18429874,9181896725.130293
18429885,9181902537.465143
18429896,9181908407.923347
18429909,9181914220.25821
18429920,9181920090.716427
18429932,9181925903.051302
18429944,9181931773.509531
18429955,9181937585.844421
18429967,9181943398.179314
18429979,9181949268.637564
18429990,9181955080.972471
18430002,9181960893.307383
18430014,9181966763.765654
18430025,9181972576.10058
18430037,9181978446.55886
18430049,9181984258.8938
18430061,9181990129.352095
18430072,9181995941.687044
18430085,9182001812.145351
18430096,9182007624.480316
18430107,9182013436.815287
18430120,9182019307.273613
18430131,9182025119.608595
18430142,9182030990.066935
18430155,9182036802.401932
18430166,9182042614.736933
18430178,9182048485.19529
18430190,9182054297.530306
18430201,9182060167.988676
18430213,9182066038.447052
18430225,9182071850.782087
18430236,9182077663.117126
18430248,9182083533.575523
18430260,9182089345.910576
18430272,9182095216.368986
18430283,9182101028.70405
18430294,9182106899.162474
18430307,9182112711.497551
18430318,9182118523.832638
18430330,9182124394.291079
18430342,9182130206.626173
18430353,9182136077.084627
18430366,9182141889.419737
18430377,9182147701.754852
18430388,9182153572.213327
18430401,9182159384.548454
18430412,9182165196.883589
18430424,9182171067.342083
18430436,9182176879.67723
18430447,9182182692.012383
18430459,9182188562.470896
18430471,9182194374.806063
18430482,9182200245.264585
18430494,9182206057.599766
18430506,9182211869.934952
18430517,9182217740.393494
18430529,9182223552.728693
18430541,9182229365.063896
18430553,9182235235.522459
18430564,9182241047.857677
18430576,9182246860.192898
18430588,9182252730.651482
18430599,9182258542.986717
18430611,9182264355.32196
18430623,9182270225.780561
18430634,9182276038.115816
18430646,9182281850.451077
18430658,9182287720.909697
18430669,9182293533.244972
18430681,9182299345.580252
18430693,9182305216.038893
18430704,9182311028.374186
18430716,9182316898.832836
18430728,9182322711.168142
18430739,9182328581.626808
18430751,9182334393.962126
18430763,9182340206.297451
18430775,9182346076.756134
18430786,9182351889.091473
18430798,9182357701.426815
18430810,9182363571.885519
18430821,9182369384.220875
18430833,9182375254.67959
18430845,9182381067.01496
18430856,9182386879.350336
18430869,9182392749.80907
18430880,9182398562.144459
18430891,9182404374.479853
18430904,9182410244.938608
18430915,9182416057.274015
18430926,9182421869.60943
18430939,9182427740.068203
18430950,9182433552.403627
18430961,9182439364.73906
18430974,9182445235.197853
18430985,9182451047.533297
18430997,9182456917.992104
18431009,9182462730.32756
18431020,9182468542.663025
18431032,9182474413.12185
18431044,9182480225.457327
18431055,9182486037.79281
18431067,9182491908.251656
18431079,9182497720.587149
18431091,9182503591.046007
18431102,9182509403.381514
18431114,9182515215.717028
18431126,9182521086.175905
18431137,9182526898.511433
18431149,9182532710.846966
18431161,9182538581.30586
18431172,9182544393.641407
18431184,9182550205.976957
18431196,9182556076.435875
18431207,9182561888.771437
18431219,9182567701.10701
