Population Increase,Annual CO₂ emissions
24387955.0,4861346000.0
16865406.0,4970814500.0
18997811.0,4959586000.0
17846861.0,5041694000.0
17858468.0,5117908500.0
17727861.0,4257136000.0
17643497.0,4646123500.0
18883146.0,5145782000.0
20564949.0,5424953000.0
25982710.0,5181006000.0
36080041.0,5929342000.0
43808256.0,6381405700.0
47140608.0,6467437000.0
50007808.0,6650861600.0
51700480.0,6789497300.0
54092800.0,7443861000.0
54930688.0,7925980700.0
56864000.0,8185614000.0
58241280.0,8417160000.0
54184192.0,8854662000.0
48941312.0,9386421000.0
49137152.0,9414383000.0
58316032.0,9746556000.0
69092608.0,10266046000.0
71432960.0,10823619000.0
69899776.0,11309690000.0
69304832.0,11861708000.0
69031168.0,12236328000.0
71362816.0,12904336000.0
73844480.0,13760840000.0
74734848.0,14898157000.0
74772992.0,15502787000.0
74637568.0,16223440000.0
75450624.0,17083500000.0
75265536.0,17009382000.0
73920256.0,17049979000.0
73068544.0,17985243000.0
73266688.0,18494652000.0
73885184.0,19063955000.0
75925248.0,19603001000.0
78425088.0,19482442000.0
80619520.0,19016950000.0
83357184.0,18865373000.0
83899392.0,18985900000.0
83952128.0,19641730000.0
85894656.0,20305132000.0
88332288.0,20607515000.0
90921472.0,21245784000.0
91309568.0,22077385000.0
91409920.0,22378970000.0
92471808.0,22752700000.0
90070016.0,23229475000.0
86440448.0,22567199000.0
84747264.0,22798350000.0
83294208.0,23034776000.0
82491904.0,23524491000.0
81925632.0,24250161000.0
81335808.0,24395952000.0
80831488.0,24330945000.0
80445952.0,24833495000.0
81140224.0,25501286000.0
81848320.0,25674930000.0
81660416.0,26248288000.0
81490944.0,27648650000.0
81852928.0,28620194000.0
82424832.0,29592103000.0
83239936.0,30605767000.0
84532224.0,31499735000.0
85648896.0,32041902000.0
86708736.0,31493265000.0
87297024.0,33306330000.0
87522304.0,34436470000.0
88572416.0,34935450000.0
88895488.0,35232470000.0
88420352.0,35466195000.0
87583744.0,35463213000.0
86876672.0,35460026000.0
86348288.0,36025455000.0
83967488.0,36766945000.0
81161216.0,37040103000.0
76001792.0,35007738000.0
68342272.0,36816544000.0
